Id;Title;Distributor;Genre
2;Mission: Impossible 2;Paramount Pictures;Action
3;Gladiator;Dreamworks SKG;Action
4;X-Men;20th Century Fox;Action
5;Charlie's Angels;Sony Pictures;Action
6;Gone in 60 Seconds;Walt Disney;Action
7;U-571;Universal;Action
8;Shaft;Paramount Pictures;Action
9;Romeo Must Die;Warner Bros.;Action
10;The 6th Day;Sony Pictures;Action
11;Proof of Life;Warner Bros.;Action
12;Reindeer Games;Miramax;Action
13;Battlefield Earth: A Saga o…;Warner Bros.;Action
14;Red Planet;Warner Bros.;Action
15;Bait;Warner Bros.;Action
16;Get Carter;Warner Bros.;Action
17;Crouching Tiger, Hidden Dragon;Sony Pictures Cla…;Action
18;Highlander: Endgame;Miramax/Dimension;Action
19;The Legend of Drunken Master;Miramax;Action
20;Godzilla 2000;Sony Pictures;Action
21;The World is Not Enough;MGM;Action
22;The Way of the Gun;Artisan;Action
23;End of Days;Universal;Action
24;Double Jeopardy;Paramount Pictures;Action
25;Taxi 2;Lionsgate;Action
26;Blue Streak;Sony Pictures;Action
27;The Omega Code;Providence Entert…;Action
28;El Circulo Vicioso;;Action
29;The Boondock Saints;Indican Pictures;Action
30;The Specials;;Action
31;Pups;;Action
33;Rush Hour 2;New Line;Action
34;Pearl Harbor;Walt Disney;Action
35;Jurassic Park III;Universal;Action
36;The Fast and the Furious;Universal;Action
37;Crouching Tiger, Hidden Dragon;Sony Pictures Cla…;Action
38;Swordfish;Warner Bros.;Action
39;The Mexican;Dreamworks SKG;Action
40;Spy Game;Universal;Action
41;Behind Enemy Lines;20th Century Fox;Action
42;Exit Wounds;Warner Bros.;Action
43;The One;Sony Pictures;Action
44;Kiss of the Dragon;20th Century Fox;Action
45;Driven;Warner Bros.;Action
46;Double Take;Walt Disney;Action
47;Heist;New Line;Action
48;3000 Miles to Graceland;Warner Bros.;Action
49;Iron Monkey;Miramax;Action
50;John Carpenterâs Ghosts of …;Screen Media Films;Action
51;Megiddo: Omega Code 2;8X Entertainment;Action
52;Apocalypse Now;United Artists;Action
53;Proof of Life;Warner Bros.;Action
54;Charlie's Angels;Sony Pictures;Action
55;Gladiator;Dreamworks SKG;Action
56;Extreme Days;Providence Entert…;Action
57;Black Hawk Down;Sony Pictures;Action
58;Le pacte des loups;;Action
59;The 6th Day;Sony Pictures;Action
60;Red Planet;Warner Bros.;Action
61;Time and Tide;;Action
62;Vampire Hunter D: Bloodlust;;Action
63;Bangkok Dangerous;First Look;Action
64;Akira;;Action
65;Taxi 2;Lionsgate;Action
67;Men in Black 2;Sony Pictures;Action
68;Die Another Day;MGM;Action
69;xXx;Sony Pictures;Action
70;Minority Report;20th Century Fox;Action
71;The Sum of All Fears;Paramount Pictures;Action
72;Black Hawk Down;Sony Pictures;Action
73;The Scorpion King;Universal;Action
74;Blade 2;New Line;Action
75;The Tuxedo;Dreamworks SKG;Action
76;Reign of Fire;Walt Disney;Action
77;Windtalkers;MGM;Action
78;Collateral Damage;Warner Bros.;Action
79;K-19: The Widowmaker;Paramount Pictures;Action
80;I Spy;Sony Pictures;Action
81;Bad Company;Walt Disney;Action
82;The Transporter;20th Century Fox;Action
83;Rollerball;MGM;Action
84;Half Past Dead;Sony Pictures;Action
85;Ballistic: Ecks vs. Sever;Warner Bros.;Action
86;Le pacte des loups;;Action
87;Formula 51;Screen Media Films;Action
88;Behind Enemy Lines;20th Century Fox;Action
89;Extreme Ops;Paramount Pictures;Action
90;State Property;Lionsgate;Action
91;Equilibrium;Miramax/Dimension;Action
92;Spy Game;Universal;Action
93;Metropolis;Paramount Pictures;Action
94;Shichinin no samurai;Cowboy Pictures;Action
95;Snipes;;Action
96;Master of the Flying Guillo…;;Action
97;Outta Time;;Action
98;Bangkok Dangerous;First Look;Action
100;The Matrix Reloaded;Warner Bros.;Action
101;X-Men 2;20th Century Fox;Action
102;Terminator 3: Rise of the M…;Warner Bros.;Action
103;Bad Boys II;Sony Pictures;Action
104;The Matrix Revolutions;Warner Bros.;Action
105;Hulk;Universal;Action
106;2 Fast 2 Furious;Universal;Action
107;S.W.A.T.;Sony Pictures;Action
108;Daredevil;20th Century Fox;Action
109;Charlie's Angels: Full Thro…;Sony Pictures;Action
110;The Last Samurai;Warner Bros.;Action
111;Kill Bill: Volume 1;Miramax;Action
112;Once Upon a Time in Mexico;Sony Pictures;Action
113;Underworld;Sony Pictures;Action
114;The Rundown;Universal;Action
115;Tears of the Sun;Sony Pictures;Action
116;National Security;Sony Pictures;Action
117;Cradle 2 the Grave;Warner Bros.;Action
118;The Hunted;Paramount Pictures;Action
119;The Core;Paramount Pictures;Action
120;Hollywood Homicide;Sony Pictures;Action
121;A Man Apart;New Line;Action
122;Bulletproof Monk;MGM;Action
123;The Medallion;Sony Pictures;Action
124;Biker Boyz;Dreamworks SKG;Action
125;Die Another Day;MGM;Action
126;Cowboy Bebop;Sony Pictures;Action
127;I Spy;Sony Pictures;Action
128;The Legend of Suriyothai;;Action
129;The Tuxedo;Dreamworks SKG;Action
130;Khushi;;Action
131;Steal;;Action
132;Half Past Dead;Sony Pictures;Action
133;Shichinin no samurai;Cowboy Pictures;Action
134;The Princess Blade;ADV Films;Action
135;Metropolis;Paramount Pictures;Action
136;Extreme Ops;Paramount Pictures;Action
137;Fulltime Killer;;Action
138;The Transporter;20th Century Fox;Action
140;I, Robot;20th Century Fox;Action
141;Troy;Warner Bros.;Action
142;Van Helsing;Universal;Action
143;Collateral;Dreamworks SKG;Action
144;AVP: Alien Vs. Predator;20th Century Fox;Action
145;Kill Bill: Volume 2;Miramax;Action
146;Hellboy;Sony Pictures;Action
147;Jet Li's Hero;Miramax;Action
148;Blade: Trinity;New Line;Action
149;Walking Tall;MGM;Action
150;Catwoman;Warner Bros.;Action
151;Taxi;20th Century Fox;Action
152;Alexander;Warner Bros.;Action
153;The Punisher;Lionsgate;Action
154;After the Sunset;New Line;Action
155;Torque;Warner Bros.;Action
156;The Last Samurai;Warner Bros.;Action
157;House of Flying Daggers;Sony Pictures Cla…;Action
158;Ghost in the Shell 2: Innoc…;DreamWorks/Go Fish;Action
159;The Matrix Revolutions;Warner Bros.;Action
160;Zatoichi;Miramax;Action
161;Kill Bill: Volume 1;Miramax;Action
162;Silmido;Cinema Service;Action
163;Dhoom;Yash Raj Films;Action
164;Warriors of Heaven and Earth;Sony Pictures;Action
165;Underworld;Sony Pictures;Action
166;Sky Blue;Maxmedia/Endgame;Action
167;Once Upon a Time in the Hood;Maverick Entertai…;Action
169;War of the Worlds;Paramount Pictures;Action
170;Batman Begins;Warner Bros.;Action
171;Mr. and Mrs. Smith;20th Century Fox;Action
172;Fantastic Four;20th Century Fox;Action
173;Constantine;Warner Bros.;Action
174;Kingdom of Heaven;20th Century Fox;Action
175;The Transporter 2;20th Century Fox;Action
176;The Island;Dreamworks SKG;Action
177;Hostage;Miramax;Action
178;Stealth;Sony Pictures;Action
179;XXX: State of the Union;Sony Pictures;Action
180;Serenity;Universal;Action
181;Aeon Flux;Paramount Pictures;Action
182;Danny the Dog;Focus/Rogue Pictures;Action
183;Elektra;20th Century Fox;Action
184;Assault On Precinct 13;Focus/Rogue Pictures;Action
185;Kung Fu Hustle;Sony Pictures Cla…;Action
186;The Lords of Dogtown;Sony/TriStar;Action
187;Domino;New Line;Action
188;The Great Raid;Miramax;Action
189;House of Flying Daggers;Sony Pictures Cla…;Action
190;Ong-Bak;Magnolia Pictures;Action
191;Blade: Trinity;New Line;Action
192;Supercross;20th Century Fox;Action
193;A Sound of Thunder;Warner Bros.;Action
194;State Property 2;Lionsgate;Action
195;Steamboy;Sony Pictures;Action
196;De Zaak Alzheimer;Sony Pictures Cla…;Action
197;Secuestro Express;Miramax;Action
198;Alexander;Warner Bros.;Action
199;Taxi;20th Century Fox;Action
200;After the Sunset;New Line;Action
201;Ek Ajnabee;Eros Entertainment;Action
202;Matando Cabos;Televisa Cine;Action
203;AppurushÃ®do;Geneon Entertainment;Action
204;D.E.B.S.;Samuel Goldwyn Films;Action
205;Sky Blue;Maxmedia/Endgame;Action
206;The Warrior;Miramax;Action
207;Undead;Lionsgate;Action
208;Streets of Legend;Lionsgate;Action
210;X-Men: The Last Stand;20th Century Fox;Action
211;Casino Royale;Sony Pictures;Action
212;Mission: Impossible III;Paramount Pictures;Action
213;V for Vendetta;Warner Bros.;Action
214;Miami Vice;Universal;Action
215;The Fast and the Furious: T…;Universal;Action
216;Underworld: Evolution;Sony Pictures;Action
217;The Guardian;Walt Disney;Action
218;Apocalypto;Walt Disney;Action
219;16 Blocks;Warner Bros.;Action
220;Blood Diamond;Warner Bros.;Action
221;Crank;Lionsgate;Action
222;The Marine;20th Century Fox;Action
223;Ultraviolet;Sony Pictures;Action
224;Tom yum goong;Weinstein Co.;Action
225;Running Scared;New Line;Action
226;Dhoom 2;Yash Raj Films;Action
227;BloodRayne;Romar;Action
228;Don;UTV Communications;Action
229;Man cheng jin dai huang jin…;Sony Pictures Cla…;Action
230;Nochnoy dozor;Fox Searchlight;Action
231;Krrish;AdLab Films;Action
232;Banlieue 13;Magnolia Pictures;Action
233;Aeon Flux;Paramount Pictures;Action
234;Wu ji;Warner Independent;Action
235;Alex Rider: Operation Storm…;Weinstein Co.;Action
236;Taepung;Paramount Vantage;Action
237;Renaissance;Miramax;Action
238;Beowulf & Grendel;Truly Indie;Action
239;Azumi;Vitagraph Films;Action
240;Grip: A Criminal's Story;JeTi Films;Action
241;In Her Line of Fire;Regent Releasing;Action
243;Transformers;Paramount Pictures;Action
244;300;Warner Bros.;Action
245;Rush Hour 3;New Line;Action
246;Live Free or Die Hard;20th Century Fox;Action
247;Fantastic Four: Rise of the…;20th Century Fox;Action
248;Ghost Rider;Sony Pictures;Action
249;TMNT;Warner Bros.;Action
250;The Kingdom;Universal;Action
251;No Country for Old Men;Miramax;Action
252;Hitman;20th Century Fox;Action
253;Aliens vs. Predator - Requiem;20th Century Fox;Action
254;We Own the Night;Sony Pictures;Action
255;War;Lionsgate;Action
256;Blood Diamond;Warner Bros.;Action
257;Next;Paramount Pictures;Action
258;Casino Royale;Sony Pictures;Action
259;Shoot 'Em Up;New Line;Action
260;Dragon Wars: D-War;Freestyle Releasing;Action
261;Pathfinder;20th Century Fox;Action
262;Death Sentence;20th Century Fox;Action
263;Apocalypto;Walt Disney;Action
264;The Condemned;Lionsgate;Action
265;Redline;Chicago Releasing;Action
266;The Last Legion;Weinstein/Dimension;Action
267;Aqua Teen Hunger Force Colo…;First Look;Action
268;Rescue Dawn;MGM;Action
269;Man cheng jin dai huang jin…;Sony Pictures Cla…;Action
270;Ladron que roba a ladron;Lionsgate;Action
271;Nitro;Alliance Atlantis;Action
272;Gwoemul;Magnolia Pictures;Action
273;Eklavya - The Royal Guard;Eros Entertainment;Action
274;The Hunting Party;Weinstein Co.;Action
275;DOA: Dead or Alive;Weinstein/Dimension;Action
276;Dnevnoy dozor;Fox Searchlight;Action
277;Fah talai jone;Magnolia Pictures;Action
278;The Marine;20th Century Fox;Action
279;Fong juk;Magnolia Pictures;Action
280;Dhoom 2;Yash Raj Films;Action
281;Middonaito Ãguru;Strand;Action
282;Tekkon Kinkreet;;Action
283;Khon fai bin;Magnolia Pictures;Action
285;The Dark Knight;Warner Bros.;Action
286;Hancock;Sony Pictures;Action
287;Quantum of Solace;Sony Pictures;Action
288;Wanted;Universal;Action
289;Cloverfield;Paramount Pictures;Action
290;Hellboy II: The Golden Army;Universal;Action
291;The Forbidden Kingdom;Lionsgate;Action
292;Speed Racer;Warner Bros.;Action
293;Rambo;Lionsgate;Action
294;Max Payne;20th Century Fox;Action
295;Death Race;Universal;Action
296;Transporter 3;Lionsgate;Action
297;No Country for Old Men;Miramax;Action
298;Never Back Down;Summit Entertainment;Action
299;Babylon A.D.;20th Century Fox;Action
300;The X-Files: I Want to Believe;20th Century Fox;Action
301;The Spirit;Lionsgate;Action
302;Bangkok Dangerous;Lionsgate;Action
303;Aliens vs. Predator - Requiem;20th Century Fox;Action
304;Doomsday;Universal;Action
305;Punisher: War Zone;Lionsgate;Action
306;RocknRolla;Warner Bros.;Action
307;In the Name of the King: A …;Freestyle Releasing;Action
308;Singh is Kinng;Studio 18;Action
309;Redbelt;Sony Pictures Cla…;Action
310;Race;UTV Communications;Action
311;Tashan;Yash Raj Films;Action
312;Hitman;20th Century Fox;Action
313;OSS 117: Le Caire, nid d'es…;Music Box Films;Action
314;Hell Ride;Weinstein Co.;Action
315;Ashes of Time;;Action
316;Beaufort;Kino International;Action
317;Sukiyaki Western Django;First Look;Action
318;Tropa de Elite;IFC Films;Action
319;Vexille;The Bigger Picture;Action
320;Flash Point;Third Rail;Action
322;Transformers: Revenge of th…;Paramount Pictures;Action
323;Avatar;20th Century Fox;Action
324;X-Men Origins: Wolverine;20th Century Fox;Action
325;2012;Sony Pictures;Action
326;Fast & Furious;Universal;Action
327;G.I. Joe: The Rise of Cobra;Paramount Pictures;Action
328;Terminator Salvation;Warner Bros.;Action
329;Inglourious Basterds;Weinstein Co.;Action
330;Watchmen;Warner Bros.;Action
331;The Taking of Pelham 123;Sony Pictures;Action
332;Underworld 3: Rise of the L…;Sony Pictures;Action
333;Surrogates;Walt Disney;Action
334;Ninja Assassin;Warner Bros.;Action
335;Fighting;Universal;Action
336;Gamer;Lionsgate;Action
337;Cirque du Freak: The Vampir…;Universal;Action
338;12 Rounds;20th Century Fox;Action
339;The Boondock Saints 2: All …;Apparition;Action
340;Street Fighter: The Legend …;20th Century Fox;Action
341;Quantum of Solace;Sony Pictures;Action
342;The Dark Knight;Warner Bros.;Action
343;The Spirit;Lionsgate;Action
344;Red Cliff;Magnolia Pictures;Action
345;Der Baader Meinhof Komplex;Vitagraph Films;Action
346;BLUE;Viva Entertainment;Action
347;Blood: The Last Vampire;Samuel Goldwyn Films;Action
348;Outlander;Third Rail;Action
349;Ong-Bak 2;Magnolia Pictures;Action
350;Chocolate;Magnolia Pictures;Action
351;Max Payne;20th Century Fox;Action
352;Mutant Chronicles;Magnolia Pictures;Action
353;Break;Cinema Epoch;Action
355;Avatar;20th Century Fox;Action
356;Iron Man 2;Paramount Pictures;Action
357;The Karate Kid;Sony Pictures;Action
358;Clash of the Titans;Warner Bros.;Action
359;Robin Hood;Universal;Action
360;The Expendables;Lionsgate;Action
361;The Book of Eli;Warner Bros.;Action
362;Prince of Persia: Sands of …;Walt Disney;Action
363;Red;Summit Entertainment;Action
364;Unstoppable;20th Century Fox;Action
365;The A-Team;20th Century Fox;Action
366;Knight and Day;20th Century Fox;Action
367;Predators;20th Century Fox;Action
368;Killers;Lionsgate;Action
369;Machete;20th Century Fox;Action
370;The Losers;Warner Bros.;Action
371;Faster;CBS Films;Action
372;Repo Men;Universal;Action
373;Jonah Hex;Warner Bros.;Action
374;2012;Sony Pictures;Action
375;Robot;B4U Movies;Action
376;Ninja Assassin;Warner Bros.;Action
377;Veer;Eros Entertainment;Action
378;The Boondock Saints 2: All …;Apparition;Action
379;Once Upon a Time in Mumbai;Viva Entertainment;Action
380;Tau ming chong;;Action
381;Joheunnom nabbeunnom isangh…;;Action
382;Centurion;Magnolia Pictures;Action
383;Red Cliff;Magnolia Pictures;Action
384;God of Vampires;Nocturnal Features;Action
385;Valhalla Rising;IFC Films;Action
386;The Korean;Indican Pictures;Action
387;Bitch Slap;Freestyle Releasing;Action
388;Jerusalema;Anchor Bay Entert…;Action
390;Transformers: Dark of the Moon;Paramount Pictures;Action
391;Fast Five;Universal;Action
392;Thor;Paramount Pictures;Action
393;Captain America: The First …;Paramount Pictures;Action
394;X-Men: First Class;20th Century Fox;Action
395;Mission: ImpossibleâGhost P…;Paramount Pictures;Action
396;Sherlock Holmes: A Game of …;Warner Bros.;Action
397;Green Lantern;Warner Bros.;Action
398;Cowboys and Aliens;Universal;Action
399;The Green Hornet;Sony Pictures;Action
400;Real Steel;Walt Disney;Action
401;Battle: Los Angeles;Sony Pictures;Action
402;Immortals;Relativity;Action
403;Sucker Punch;Warner Bros.;Action
404;Drive;FilmDistrict;Action
405;The Mechanic;CBS Films;Action
406;Killer Elite;Open Road;Action
407;Season of the Witch;Relativity;Action
408;Sanctum;Universal;Action
409;Conan the Barbarian;Lionsgate;Action
410;The Eagle;Focus Features;Action
411;The Darkest Hour;Summit Entertainment;Action
412;Drive Angry;Summit Entertainment;Action
413;Don 2;Reliance Big Pict…;Action
414;Ra. One;Eros Entertainment;Action
415;Unstoppable;20th Century Fox;Action
416;Bodyguard;Reliance Big Pict…;Action
417;Salvando al Soldado Perez;Lionsgate;Action
418;Attack the Block;Sony Pictures;Action
419;Red;Summit Entertainment;Action
420;JÃ»san-nin no shikaku;Magnolia Pictures;Action
421;Hobo with a Shotgun;Magnolia Pictures;Action
422;Metropolis;Paramount Pictures;Action
423;Faster;CBS Films;Action
424;Ip Man: Legend of the Grand…;Variance Films;Action
425;Bellflower;Oscilloscope Pict…;Action
426;Game;Eros Entertainment;Action
427;Tropa de Elite 2: O Inimigo…;Variance Films;Action
428;Su Qi Er;Indomina Releasing;Action
429;Shaolin;Variance Films;Action
430;Gekijouban Trigun: Badlands…;Eleven Arts;Action
431;Jing mo fung wan: Chen Zhen;Variance Films;Action
432;Choi-jong-byeong-gi-hwal;CJ Entertainment;Action
433;Bay Rong;Variance Films;Action
434;Bonnie & Clyde vs. Dracula;Indican Pictures;Action
435;Ong Bak 3;Magnet Pictures;Action
436;Saheb Biwi Aur Gangster;UTV Communications;Action
437;The Heir Apparent: Largo Winch;Music Box Films;Action
438;Blood Ties;Afterlight Pictures;Action
440;The Avengers;Walt Disney;Action
441;The Dark Knight Rises;Warner Bros.;Action
442;Skyfall;Sony Pictures;Action
443;The Expendables 2;Lionsgate;Action
444;Act of Valor;Relativity;Action
445;Mission: ImpossibleâGhost P…;Paramount Pictures;Action
446;Contraband;Universal;Action
447;Looper;Sony Pictures;Action
448;Battleship;Universal;Action
449;Underworld: Awakening;Sony Pictures;Action
450;Total Recall;Sony Pictures;Action
451;Ghost Rider: Spirit of Veng…;Sony Pictures;Action
452;Sherlock Holmes: A Game of …;Warner Bros.;Action
453;Red Tails;20th Century Fox;Action
454;Red Dawn;Open Road;Action
455;Safe;Lionsgate;Action
456;The Man with the Iron Fists;Universal;Action
457;Dredd;Lionsgate;Action
458;The Darkest Hour;Summit Entertainment;Action
459;For Greater Glory: The True…;ARC Entertainment;Action
460;Serbuan maut;Sony Pictures Cla…;Action
461;Agneepath;Eros Entertainment;Action
462;Real Steel;Walt Disney;Action
463;Immortals;Relativity;Action
464;Dodookdeul;Well Go USA;Action
465;Don 2;Reliance Big Pict…;Action
466;Seeking Justice;Anchor Bay Entert…;Action
467;Stolen;Alchemy;Action
468;Drive;FilmDistrict;Action
469;Thaandavam;UTV Communications;Action
470;Tai Chi Zero;Variance Films;Action
471;Vettai;UTV Communications;Action
472;Long men fei jia;Indomina Releasing;Action
473;Mugamoodi;UTV Communications;Action
474;Paan Singh Tomar;UTV Communications;Action
475;Hua Pi 2;Well Go USA;Action
476;Sacrifice;Alchemy;Action
477;Tropa de Elite 2: O Inimigo…;Variance Films;Action
478;Wu Xia;Weinstein Co.;Action
479;Total Recall;Sony Pictures;Action
480;Forces spÃ©ciales;Entertainment One;Action
481;Arjun The Warrior Prince;UTV Communications;Action
482;BRO';;Action
483;Universal Soldier: Day of R…;Magnet Pictures;Action
484;Tomorrow When the War Began;Freestyle Releasing;Action
485;The Heir Apparent: Largo Winch;Music Box Films;Action
486;Ta-weo;;Action
488;Iron Man 3;Walt Disney;Action
489;Man of Steel;Warner Bros.;Action
490;Fast and Furious 6;Universal;Action
491;Thor: The Dark World;Walt Disney;Action
492;World War Z;Paramount Pictures;Action
493;The Wolverine;20th Century Fox;Action
494;G.I. Joe: Retaliation;Paramount Pictures;Action
495;Pacific Rim;Warner Bros.;Action
496;Elysium;Sony Pictures;Action
497;2 Guns;Universal;Action
498;A Good Day to Die Hard;20th Century Fox;Action
499;After Earth;Sony Pictures;Action
500;Hansel & Gretel: Witch Hunters;Paramount Pictures;Action
501;RED 2;Lionsgate;Action
502;Pain & Gain;Paramount Pictures;Action
503;Gangster Squad;Warner Bros.;Action
504;Riddick;Universal;Action
505;R.I.P.D.;Universal;Action
506;47 Ronin;Universal;Action
507;Kick-Ass 2;Universal;Action
508;Homefront;Open Road;Action
509;The Last Stand;Lionsgate;Action
510;Bullet to the Head;Warner Bros.;Action
511;Machete Kills;Open Road;Action
512;Dhoom 3;Yash Raj Films;Action
513;Skyfall;Sony Pictures;Action
514;Yi dai zong shi;Weinstein Co.;Action
515;Top Gun;Paramount Pictures;Action
516;Oldboy;FilmDistrict;Action
517;Race 2;UTV Communications;Action
518;Red Dawn;Open Road;Action
519;Shootout at Wadala;Eros Entertainment;Action
520;Lone Survivor;Universal;Action
521;Himmatwala;UTV Communications;Action
522;Cinco de Mayo, La Batalla;Lionsgate;Action
523;Jeonseolui Joomeok;CJ Entertainment;Action
524;Un flic;Rialto Pictures;Action
525;Yip Man: Jung gik yat jin;Well Go USA;Action
526;Tai Chi Hero;Well Go USA;Action
527;The Sweeney;Entertainment One;Action
528;Bai she chuan shuo;Magnolia Pictures;Action
529;Violet and Daisy;Cinedigm;Action
530;Pawn Shop Chronicles;Anchor Bay Entert…;Action
531;The Package;Anchor Bay Entert…;Action
532;Hammer of the Gods;Magnet Pictures;Action
534;Guardians of the Galaxy;Walt Disney;Action
535;Captain America: The Winter…;Walt Disney;Action
536;Transformers: Age of Extinc…;Paramount Pictures;Action
537;X-Men: Days of Future Past;20th Century Fox;Action
538;The Amazing Spider-Man 2;Sony Pictures;Action
539;Godzilla;Warner Bros.;Action
540;Lucy;Universal;Action
541;Lone Survivor;Universal;Action
542;300: Rise of an Empire;Warner Bros.;Action
543;The Maze Runner;20th Century Fox;Action
544;The Equalizer;Sony Pictures;Action
545;Edge of Tomorrow;Warner Bros.;Action
546;Non-Stop;Universal;Action
547;RoboCop;Sony Pictures;Action
548;Dracula Untold;Universal;Action
549;Jack Ryan: Shadow Recruit;Paramount Pictures;Action
550;Need for Speed;Walt Disney;Action
551;John Wick;Lionsgate;Action
552;The Expendables 3;Lionsgate;Action
553;A Walk Among the Tombstones;Universal;Action
554;Pompeii;Sony Pictures;Action
555;Brick Mansions;Relativity;Action
556;I, Frankenstein;Lionsgate;Action
557;Sin City: A Dame to Kill For;Weinstein Co.;Action
558;Sabotage;Open Road;Action
559;47 Ronin;Universal;Action
560;Thor: The Dark World;Walt Disney;Action
561;Myeong-ryang;CJ Entertainment;Action
562;Serbuan maut 2: Berandal;Sony Pictures Cla…;Action
563;Bang Bang;FIP;Action
564;Kick;UTV Communications;Action
565;Singham Returns;Eros Entertainment;Action
566;Jai Ho;Eros Entertainment;Action
567;Kochadaiiyaan;Eros Entertainment;Action
568;Ek Villain;Eros Entertainment;Action
569;Innocence;JSC Entertainment;Action
570;The Breakup Guru;China Lion Film D…;Action
571;Dhoom 3;Yash Raj Films;Action
572;Action Jackson;Lorimar Motion Pi…;Action
573;Kundo: min-ran-eui-si-dae;Well Go USA;Action
574;Tiger & Bunny the Movie: Th…;Eleven Arts;Action
575;Jigoku de naze warui;Drafthouse Films;Action
576;Guardian Angel;Richmond Media En…;Action
577;Falcon Rising;Freestyle Releasing;Action
578;Bing Fung: Chung Sang Chi Mun;Well Go USA;Action
579;Autoreiji: Biyondo;Magnolia Pictures;Action
580;Raze;IFC Midnight;Action
581;Black Out;Music Box Films;Action
582;Revenge of the Green Dragons;A24;Action
583;Tom yum goong 2;Magnet Pictures;Action
584;Arme Riddere;Doppelganger Rele…;Action
586;Jurassic World;Universal;Action
587;Avengers: Age of Ultron;Walt Disney;Action
588;Furious 7;Universal;Action
589;Spectre;Sony Pictures;Action
590;Mission: ImpossibleâRogue N…;Paramount Pictures;Action
591;Ant-Man;Walt Disney;Action
592;Mad Max: Fury Road;Warner Bros.;Action
593;The Divergent Series: Insur…;Lionsgate;Action
594;Kingsman: The Secret Service;20th Century Fox;Action
595;Terminator: Genisys;Paramount Pictures;Action
596;Taken 3;20th Century Fox;Action
597;Maze Runner: The Scorch Trials;20th Century Fox;Action
598;Fantastic Four;20th Century Fox;Action
599;Jupiter Ascending;Warner Bros.;Action
600;The Man From U.N.C.L.E.;Warner Bros.;Action
601;Chappie;Sony Pictures;Action
602;The Last Witch Hunter;Lionsgate;Action
603;Run All Night;Warner Bros.;Action
604;Hitman: Agent 47;20th Century Fox;Action
605;The Transporter Refueled;EuropaCorp;Action
606;Point Break;Warner Bros.;Action
