Id;Title;Distributor;Genre
2;How the Grinch Stole Christmas;Universal;Adventure
3;Dinosaur;Walt Disney;Adventure
4;Cast Away;20th Century Fox;Adventure
5;Chicken Run;Dreamworks SKG;Adventure
6;Space Cowboys;Warner Bros.;Adventure
7;Rugrats in Paris;Paramount Pictures;Adventure
8;Mission to Mars;Walt Disney;Adventure
9;Stuart Little;Sony Pictures;Adventure
10;Snow Day;Paramount Pictures;Adventure
11;102 Dalmatians;Walt Disney;Adventure
12;The Emperor's New Groove;Walt Disney;Adventure
13;The Road to El Dorado;Dreamworks SKG;Adventure
14;The Tigger Movie;Walt Disney;Adventure
15;Galaxy Quest;Dreamworks SKG;Adventure
16;Pokemon 2000;Warner Bros.;Adventure
17;Toy Story 2;Walt Disney;Adventure
18;The Flintstones in Viva Roc…;Universal;Adventure
19;The Adventures of Rocky & B…;Universal;Adventure
20;Titan A.E.;20th Century Fox;Adventure
21;Thomas and the Magic Railroad;Destination Films;Adventure
22;Dungeons and Dragons;New Line;Adventure
23;The Little Vampire;New Line;Adventure
24;Digimon: The Movie;20th Century Fox;Adventure
25;T-Rex: Back to the Cretaceous;IMAX Films;Adventure
26;Cyberworld 3D;IMAX Films;Adventure
27;Alien Adventure;nWave Pictures;Adventure
28;Pokemon: The First Movie;Warner Bros.;Adventure
29;MVP: Most Valuable Primate;Keystone Entertai…;Adventure
30;Star Wars Ep. I: The Phanto…;20th Century Fox;Adventure
31;Across The Sea of Time;Sony Pictures Cla…;Adventure
32;Tarzan;Walt Disney;Adventure
33;Kirikou and the Sorceress;ArtMattan Films;Adventure
34;Sinbad: Beyond the Veil of …;Phaedra Cinema;Adventure
36;Harry Potter and the Sorcer…;Warner Bros.;Adventure
37;Shrek;Dreamworks SKG;Adventure
38;Monsters, Inc.;Walt Disney;Adventure
39;The Lord of the Rings: The …;New Line;Adventure
40;The Mummy Returns;Universal;Adventure
41;Planet of the Apes;20th Century Fox;Adventure
42;Lara Croft: Tomb Raider;Paramount Pictures;Adventure
43;Cast Away;20th Century Fox;Adventure
44;Dr. Dolittle 2;20th Century Fox;Adventure
45;Spy Kids;Miramax/Dimension;Adventure
46;Atlantis: The Lost Empire;Walt Disney;Adventure
47;Jimmy Neutron: Boy Genius;Paramount Pictures;Adventure
48;A Knightâs Tale;Sony Pictures;Adventure
49;The Emperor's New Groove;Walt Disney;Adventure
50;Recess: School's Out;Walt Disney;Adventure
51;See Spot Run;Warner Bros.;Adventure
52;Final Fantasy: The Spirits …;Sony Pictures;Adventure
53;Black Knight;20th Century Fox;Adventure
54;The Musketeer;Universal;Adventure
55;Crocodile Dundee in Los Ang…;Paramount Pictures;Adventure
56;Max Keeble's Big Move;Walt Disney;Adventure
57;Pokemon 3: The Movie;Warner Bros.;Adventure
58;Osmosis Jones;Warner Bros.;Adventure
59;102 Dalmatians;Walt Disney;Adventure
60;Cyberworld 3D;IMAX Films;Adventure
61;How the Grinch Stole Christmas;Universal;Adventure
62;Rugrats in Paris;Paramount Pictures;Adventure
63;Haunted Castle;nWave Pictures;Adventure
64;T-Rex: Back to the Cretaceous;IMAX Films;Adventure
65;Dungeons and Dragons;New Line;Adventure
66;Alien Adventure;nWave Pictures;Adventure
67;Across The Sea of Time;Sony Pictures Cla…;Adventure
68;Space Cowboys;Warner Bros.;Adventure
69;2001: A Space Odyssey;MGM;Adventure
70;Kirikou and the Sorceress;ArtMattan Films;Adventure
72;Spider-Man;Sony Pictures;Adventure
73;Star Wars Ep. II: Attack of…;20th Century Fox;Adventure
74;The Lord of the Rings: The …;New Line;Adventure
75;Harry Potter and the Chambe…;Warner Bros.;Adventure
76;Ice Age;20th Century Fox;Adventure
77;Scooby-Doo;Warner Bros.;Adventure
78;Lilo & Stitch;Walt Disney;Adventure
79;The Santa Clause 2;Walt Disney;Adventure
80;The Lord of the Rings: The …;New Line;Adventure
81;Spy Kids 2: The Island of L…;Miramax/Dimension;Adventure
82;Snow Dogs;Walt Disney;Adventure
83;Spirit: Stallion of the Cim…;Dreamworks SKG;Adventure
84;Stuart Little 2;Sony Pictures;Adventure
85;The Time Machine;Dreamworks SKG;Adventure
86;The Count of Monte Cristo;Walt Disney;Adventure
87;Like Mike;20th Century Fox;Adventure
88;Peter Pan: Return to Neverland;Walt Disney;Adventure
89;Big Fat Liar;Universal;Adventure
90;The Master of Disguise;Sony Pictures;Adventure
91;Star Trek: Nemesis;Paramount Pictures;Adventure
92;Clockstoppers;Paramount Pictures;Adventure
93;Treasure Planet;Walt Disney;Adventure
94;The Wild Thornberrys Movie;Paramount Pictures;Adventure
95;The Crocodile Hunter: Colli…;MGM;Adventure
96;Jonah: A VeggieTales Movie;Artisan;Adventure
97;Jimmy Neutron: Boy Genius;Paramount Pictures;Adventure
