Id;Title;Distributor;Genre
2;Meet the Parents;Universal;Comedy
3;Scary Movie;Miramax/Dimension;Comedy
4;Nutty Professor II: The Klumps;Universal;Comedy
5;Big Momma's House;20th Century Fox;Comedy
6;The Kid;Walt Disney;Comedy
7;Road Trip;Dreamworks SKG;Comedy
8;Bring it On;Universal;Comedy
9;The Whole Nine Yards;Warner Bros.;Comedy
10;Next Friday;New Line;Comedy
11;Miss Congeniality;Warner Bros.;Comedy
12;The Replacements;Warner Bros.;Comedy
13;The Family Man;Universal;Comedy
14;Little Nicky;New Line;Comedy
15;Bedazzled;20th Century Fox;Comedy
16;28 Days;Sony Pictures;Comedy
17;Hanging Up;Sony Pictures;Comedy
18;Dude, Where's My Car?;20th Century Fox;Comedy
19;Almost Famous;Dreamworks SKG;Comedy
20;High Fidelity;Walt Disney;Comedy
21;Wonder Boys;Paramount Pictures;Comedy
22;Deuce Bigalow: Male Gigolo;Walt Disney;Comedy
23;Small Time Crooks;Dreamworks SKG;Comedy
24;Best in Show;Warner Bros.;Comedy
25;Drowning Mona;Destination Films;Comedy
26;The Ladies Man;Paramount Pictures;Comedy
27;The Crew;Walt Disney;Comedy
28;Ready to Rumble;Warner Bros.;Comedy
29;Saving Grace;Fine Line;Comedy
30;Lucky Numbers;Paramount Pictures;Comedy
31;3 Strikes;MGM;Comedy
32;Play it to the Bone;Walt Disney;Comedy
33;Screwed;Universal;Comedy
34;What Planet Are You From?;Sony Pictures;Comedy
35;Where the Money Is;USA Films;Comedy
36;Held Up;Trimark;Comedy
37;East is East;Miramax;Comedy
38;Whipped;Destination Films;Comedy
39;Isn't She Great;Universal;Comedy
40;But I'm a Cheerleader;Lionsgate;Comedy
41;O Brother, Where Art Thou?;Walt Disney;Comedy
42;La Vie AprÃ¨s L'Amour;Alliance Atlantis;Comedy
43;The Broken Hearts Club: A R…;Sony Pictures Cla…;Comedy
44;Dogma;Lionsgate;Comedy
45;Gun Shy;Walt Disney;Comedy
46;State and Main;Fine Line;Comedy
47;Groove;Sony Pictures Cla…;Comedy
48;Catfish in Black Bean Sauce;Phaedra Cinema;Comedy
49;The Cup;Fine Line;Comedy
50;Simpatico;Phaedra Cinema;Comedy
51;New Waterford Girl;Alliance Atlantis;Comedy
52;A Hard Day's Night;Universal;Comedy
53;Superstar;Paramount Pictures;Comedy
54;Luminarias;;Comedy
55;Smiling Fish and Goat on Fire;;Comedy
56;Psycho Beach Party;;Comedy
57;Beautiful People;Trimark;Comedy
58;The Closer You Get;;Comedy
59;The Discreet Charm of the B…;;Comedy
60;The Big Tease;Warner Bros.;Comedy
61;La BÃ»che;Empire Pictures;Comedy
62;Laura Cadieux .. La Suite;Alliance Atlantis;Comedy
63;Agnes Browne;USA Films;Comedy
64;Bedrooms and Hallways;First Run Features;Comedy
65;Adorenarin doraibu;Shooting Gallery;Comedy
66;Blue Moon;Castle Hill Produ…;Comedy
67;Diamonds;Miramax;Comedy
68;An Everlasting Piece;Dreamworks SKG;Comedy
69;La Bouteille;Lionsgate;Comedy
70;Billy Liar;Rialto Pictures;Comedy
71;The Saragossa Manuscript;Cowboy Pictures;Comedy
72;Bootmen;Fox Searchlight;Comedy
73;2 MÃ¤nner, 2 Frauen - 4 Prob…;;Comedy
74;30 Days;Arrow Releasing;Comedy
75;Aïe;;Comedy
76;Mookie;;Comedy
77;Les convoyeurs attendent;Samuel Goldwyn Films;Comedy
78;Edge of Seventeen;Strand;Comedy
79;Chutney Popcorn;First Look;Comedy
80;L'Homme Nu;;Comedy
81;Better Living;;Comedy
83;American Pie 2;Universal;Comedy
84;The Princess Diaries;Walt Disney;Comedy
85;Legally Blonde;MGM;Comedy
86;Cats & Dogs;Warner Bros.;Comedy
87;Scary Movie 2;Miramax/Dimension;Comedy
88;Down to Earth;Paramount Pictures;Comedy
89;Miss Congeniality;Warner Bros.;Comedy
90;Rat Race;Paramount Pictures;Comedy
91;The Animal;Sony Pictures;Comedy
92;Zoolander;Paramount Pictures;Comedy
93;O Brother, Where Art Thou?;Walt Disney;Comedy
94;Bandits;MGM;Comedy
95;Heartbreakers;MGM;Comedy
96;Evolution;Dreamworks SKG;Comedy
97;Not Another Teen Movie;Sony Pictures;Comedy
98;The Family Man;Universal;Comedy
99;What's the Worst That Could…;MGM;Comedy
100;Jay and Silent Bob Strike Back;Miramax/Dimension;Comedy
101;The Brothers;Sony Pictures;Comedy
102;Joe Dirt;Sony Pictures;Comedy
103;How High;Universal;Comedy
104;Corky Romano;Walt Disney;Comedy
105;Kingdom Come;Fox Searchlight;Comedy
106;Joe Somebody;20th Century Fox;Comedy
107;Saving Silverman;Sony Pictures;Comedy
108;Josie and the Pussycats;Universal;Comedy
109;Freddy Got Fingered;20th Century Fox;Comedy
110;Out Cold;Walt Disney;Comedy
111;Tomcats;Sony Pictures;Comedy
112;Sugar and Spice;New Line;Comedy
113;Dude, Where's My Car?;20th Century Fox;Comedy
114;The Wash;Lionsgate;Comedy
115;The Curse of the Jade Scorpion;Dreamworks SKG;Comedy
116;Le Placard;Miramax;Comedy
117;Ghost World;MGM;Comedy
118;Say It Isn't So;20th Century Fox;Comedy
119;Monkeybone;20th Century Fox;Comedy
120;State and Main;Fine Line;Comedy
121;Made;Artisan;Comedy
122;Pane e tulipani;First Look;Comedy
123;Bubble Boy;Walt Disney;Comedy
124;Meet the Parents;Universal;Comedy
125;Just Visiting;Walt Disney;Comedy
126;Tortilla Soup;IDP Distribution;Comedy
127;Pootie Tang;Paramount Pictures;Comedy
128;Monty Python and the Holy G…;;Comedy
