Id;Title;Distributor;Genre
2;The Perfect Storm;Warner Bros.;Drama
3;Erin Brockovich;Universal;Drama
4;Remember the Titans;Walt Disney;Drama
5;The Patriot;Sony Pictures;Drama
6;Rules of Engagement;Paramount Pictures;Drama
7;Coyote Ugly;Walt Disney;Drama
8;The Green Mile;Warner Bros.;Drama
9;American Beauty;Dreamworks SKG;Drama
10;The Cider House Rules;Miramax;Drama
11;The Hurricane;Universal;Drama
12;Men of Honor;20th Century Fox;Drama
13;The Beach;20th Century Fox;Drama
14;Autumn in New York;MGM;Drama
15;Bounce;Miramax;Drama
16;My Dog Skip;Warner Bros.;Drama
17;Where the Heart Is;20th Century Fox;Drama
18;Pay it Forward;Warner Bros.;Drama
19;The Legend of Bagger Vance;Dreamworks SKG;Drama
20;Any Given Sunday;Warner Bros.;Drama
21;Girl, Interrupted;Sony Pictures;Drama
22;Love & Basketball;New Line;Drama
23;Magnolia;New Line;Drama
24;Bicentennial Man;Walt Disney;Drama
25;Center Stage;Sony Pictures;Drama
26;Billy Elliot;Focus Features;Drama
27;Boiler Room;New Line;Drama
28;The Next Best Thing;Paramount Pictures;Drama
29;Anna and the King;20th Century Fox;Drama
30;Snow Falling on Cedars;Universal;Drama
31;Angela's Ashes;Paramount Pictures;Drama
32;Here on Earth;20th Century Fox;Drama
33;Man on the Moon;Universal;Drama
34;The End of the Affair;Sony Pictures;Drama
35;Boys Don't Cry;Fox Searchlight;Drama
36;I Dreamed of Africa;Sony Pictures;Drama
37;Croupier;Shooting Gallery;Drama
38;Todo sobre mi madre;Sony Pictures Cla…;Drama
39;Finding Forrester;Sony Pictures;Drama
40;Black and White;Sony Pictures;Drama
41;Gossip;Warner Bros.;Drama
42;Sunshine;Paramount Vantage;Drama
43;Duets;Walt Disney;Drama
44;Chocolat;Miramax;Drama
45;You Can Count on Me;Paramount Vantage;Drama
46;Price of Glory;New Line;Drama
47;Quills;Fox Searchlight;Drama
48;Ghost Dog: The Way of the S…;Artisan;Drama
49;The Big Kahuna;Lionsgate;Drama
50;Beautiful;Destination Films;Drama
51;Up at the Villa;Focus Features;Drama
52;The Insider;Walt Disney;Drama
53;Requiem for a Dream;Artisan;Drama
54;God's Army;Excel Entertainment;Drama
55;East-West;Sony Pictures;Drama
56;Mansfield Park;Miramax;Drama
57;Bamboozled;New Line;Drama
58;Cradle Will Rock;Walt Disney;Drama
59;La lengua de las mariposas;Miramax;Drama
60;Titus;20th Century Fox;Drama
61;The Straight Story;Walt Disney;Drama
62;The Color of Paradise;Sony Pictures Cla…;Drama
63;Holy Smoke;Miramax;Drama
64;Hamlet;Miramax;Drama
65;Girlfight;Sony Pictures;Drama
66;Liberty Heights;Warner Bros.;Drama
67;Jesus' Son;Lionsgate;Drama
68;Turn It Up;New Line;Drama
69;Shower;Sony Pictures Cla…;Drama
70;Jing ke ci qin wang;Sony Pictures Cla…;Drama
71;Time Code;Sony Pictures;Drama
72;Chuck&Buck;Artisan;Drama
73;What's Cooking;Lionsgate;Drama
74;Urbania;Lionsgate;Drama
75;Two Family House;Lionsgate;Drama
76;La otra conquista;Hombre de Oro;Drama
77;Encounter in the Third Dime…;nWave Pictures;Drama
78;The Yards;Miramax;Drama
79;AimÃ©e & Jaguar;Zeitgeist;Drama
80;Passion of Mind;Paramount Vantage;Drama
81;Alice et Martin;October Films;Drama
82;Place Vendome;Empire Pictures;Drama
83;Kadosh;Kino International;Drama
84;The Third Miracle;Sony Pictures;Drama
85;Goya in Bordeaux;Sony Pictures Cla…;Drama
86;Joe Gould's Secret;Focus Features;Drama
87;Fiza;Video Sound;Drama
88;Refugee;Yash Raj Films;Drama
89;Yi Ge Dou Bu Neng Shao;Sony Pictures Cla…;Drama
90;Mifune;Sony Pictures Cla…;Drama
91;The Opportunists;First Look;Drama
92;The Basket;MGM;Drama
93;A Time for Drunken Horses;Shooting Gallery;Drama
94;A Map of the World;USA Films;Drama
95;Fight Club;20th Century Fox;Drama
96;Dekalog;New Yorker;Drama
97;Malena;Miramax;Drama
98;The Last September;;Drama
99;Time Regained;;Drama
100;Anywhere But Here;20th Century Fox;Drama
101;Josh;Eros Entertainment;Drama
102;8 Â½ Women;Lionsgate;Drama
103;Traffic;USA Films;Drama
104;Yi Yi;WellSpring;Drama
105;Solas;;Drama
106;Une Liaison pornographique;Fine Line;Drama
107;Thirteen Days;New Line;Drama
108;Beau Travail;New Yorker;Drama
109;Tumbleweeds;Fine Line;Drama
110;Before Night Falls;Fine Line;Drama
111;The Tic Code;;Drama
112;Bulandi;;Drama
113;Kikujiro;;Drama
114;The War Zone;Lot 47 Films;Drama
115;Left Luggage;Castle Hill Produ…;Drama
116;Cleopatra's Second Husband;Indican Pictures;Drama
117;Mercy Streets;;Drama
118;The Limey;Artisan;Drama
119;The House of Mirth;Sony Pictures Cla…;Drama
120;The Silence;New Yorker;Drama
121;Pola X;;Drama
122;Shadow of the Vampire;Lionsgate;Drama
123;Un pont entre deux rives;Phaedra Cinema;Drama
124;Tigerland;20th Century Fox;Drama
125;Hum to Mohabbt Karega;;Drama
126;The Messenger: The Story of…;Sony Pictures;Drama
127;La ciudad;Zeitgeist;Drama
128;Boricua's Bond;Focus Features;Drama
129;Boys Life 3;Strand;Drama
130;Music of the Heart;Miramax;Drama
131;The King of Masks;Goldwyn Entertain…;Drama
132;Flawless;MGM;Drama
133;Panic;Roxie Releasing;Drama
134;Le grand bleu;Sony Pictures;Drama
135;Rosetta;USA Films;Drama
136;Beefcake;Strand;Drama
137;Felicia's Journey;Artisan;Drama
138;Titanic Town;;Drama
139;Earth;Zeitgeist;Drama
140;Ã  bout de souffle;Films Around the …;Drama
141;Luminous Motion;;Drama
142;Light It Up;20th Century Fox;Drama
143;Pollock;Sony Pictures Cla…;Drama
144;Animal Factory;;Drama
145;Madadayo;WinStar Cinema;Drama
146;Himalaya - l'enfance d'un chef;Kino International;Drama
147;Burlesk King;Strand;Drama
148;Last Night;Lionsgate;Drama
149;Boesman and Lena;Kino International;Drama
150;The Weekend;;Drama
151;La Grande Illusion;Rialto Pictures;Drama
152;Wings of Courage;Sony Pictures Cla…;Drama
153;Wandafuru raifu;Artistic License;Drama
154;Diary of a Chambermaid;;Drama
155;Chunhyang;Lot 47 Films;Drama
156;The Autumn Heart;Arrow Releasing;Drama
157;Family Tree;;Drama
158;All About Eve;20th Century Fox;Drama
159;Claire Dolan;New Yorker;Drama
160;Harem Suare;;Drama
161;The Visit;;Drama
162;Babymother;Fine Line;Drama
163;Followers;;Drama
164;Steam: The Turkish Bath;Strand;Drama
165;Le Chal Apne Sang;Eros Entertainment;Drama
166;The Trial of Old Drum;;Drama
167;Eastside;;Drama
169;Traffic;USA Films;Drama
170;Save the Last Dance;Paramount Pictures;Drama
171;Artificial Intelligence: AI;Warner Bros.;Drama
172;Chocolat;Miramax;Drama
173;Blow;New Line;Drama
174;Enemy at the Gates;Paramount Pictures;Drama
175;K-PAX;Universal;Drama
176;Ali;Sony Pictures;Drama
177;Finding Forrester;Sony Pictures;Drama
178;Hardball;Paramount Pictures;Drama
179;A Beautiful Mind;Universal;Drama
180;Thirteen Days;New Line;Drama
181;Riding in Cars with Boys;Sony Pictures;Drama
182;Baby Boy;Sony Pictures;Drama
183;Captain Corelli's Mandolin;Miramax;Drama
184;Sweet November;Warner Bros.;Drama
185;Hearts in Atlantis;Warner Bros.;Drama
186;Angel Eyes;Warner Bros.;Drama
187;The Majestic;Warner Bros.;Drama
188;Rock Star;Warner Bros.;Drama
189;crazy/beautiful;Walt Disney;Drama
190;O (Othello);Lionsgate;Drama
191;Life as a House;New Line;Drama
192;Pollock;Sony Pictures Cla…;Drama
193;Shadow of the Vampire;Lionsgate;Drama
194;The Man Who Wasn't There;USA Films;Drama
195;Sexy Beast;Fox Searchlight;Drama
196;Amores Perros;Lionsgate;Drama
197;You Can Count on Me;Paramount Vantage;Drama
198;Billy Elliot;Focus Features;Drama
199;The Shipping News;Miramax;Drama
200;In the Bedroom;Miramax;Drama
201;Left Behind;Cloud Ten Pictures;Drama
202;The Anniversary Party;Fine Line;Drama
203;Before Night Falls;Fine Line;Drama
204;Quills;Fox Searchlight;Drama
205;The Widow of St. Pierre;Lionsgate;Drama
206;Songcatcher;Lionsgate;Drama
207;The Golden Bowl;Lionsgate;Drama
208;Malena;Miramax;Drama
209;The House of Mirth;Sony Pictures Cla…;Drama
210;Kabhi Khushi Kabhie Gham;Yash Raj Films;Drama
211;In the Mood for Love;Focus Features;Drama
212;Waking Life;Fox Searchlight;Drama
213;Himalaya - l'enfance d'un chef;Kino International;Drama
214;Gabriela;Power Point Films;Drama
215;Innocence;IDP Distribution;Drama
216;Remember the Titans;Walt Disney;Drama
217;China: The Panda Adventure;IMAX Films;Drama
218;Carman: The Champion;8X Entertainment;Drama
219;Under the Sand;WellSpring;Drama
220;Divided We Fall;Sony Pictures Cla…;Drama
