Id;Title;Distributor;Genre
2;What Women Want;Paramount Pictures;Romantic-Comedy
3;Me, Myself & Irene;20th Century Fox;Romantic-Comedy
4;Keeping the Faith;Walt Disney;Romantic-Comedy
5;Return to Me;MGM;Romantic-Comedy
6;Boys and Girls;Miramax;Romantic-Comedy
7;Down to You;Miramax;Romantic-Comedy
8;Loser;Sony Pictures;Romantic-Comedy
9;Dr. T and the Women;Artisan;Romantic-Comedy
10;Whatever it Takes;Sony Pictures;Romantic-Comedy
11;Woman on Top;Fox Searchlight;Romantic-Comedy
12;The Tao of Steve;Sony Pictures Cla…;Romantic-Comedy
13;Sweet and Lowdown;Sony Pictures Cla…;Romantic-Comedy
14;Bossa Nova;Sony Pictures Cla…;Romantic-Comedy
15;Girl on the Bridge;Paramount Vantage;Romantic-Comedy
16;The Best Man;Universal;Romantic-Comedy
17;Me, Myself & I;Sony Pictures Cla…;Romantic-Comedy
18;Love and Sex;Lionsgate;Romantic-Comedy
19;The Bachelor;New Line;Romantic-Comedy
20;Love's Labour's Lost;Miramax;Romantic-Comedy
21;Chal Mere Bhai;Eros Entertainment;Romantic-Comedy
22;Fever Pitch;Phaedra Cinema;Romantic-Comedy
23;Runaway Bride;Paramount Pictures;Romantic-Comedy
24;Mad About Mambo;;Romantic-Comedy
25;Drive Me Crazy;20th Century Fox;Romantic-Comedy
27;America's Sweethearts;Sony Pictures;Romantic-Comedy
28;Bridget Jones's Diary;Miramax;Romantic-Comedy
29;Shallow Hal;20th Century Fox;Romantic-Comedy
30;What Women Want;Paramount Pictures;Romantic-Comedy
31;The Wedding Planner;Sony Pictures;Romantic-Comedy
32;Serendipity;Miramax;Romantic-Comedy
33;Kate and Leopold;Miramax;Romantic-Comedy
34;Someone Like You;20th Century Fox;Romantic-Comedy
35;Two Can Play That Game;Sony Pictures;Romantic-Comedy
36;Summer Catch;Warner Bros.;Romantic-Comedy
37;Le Fabuleux destin d'AmÃ©lie…;Miramax;Romantic-Comedy
38;Get Over It;Miramax;Romantic-Comedy
39;Head Over Heels;Universal;Romantic-Comedy
40;Town & Country;New Line;Romantic-Comedy
41;On the Line;Miramax;Romantic-Comedy
42;All Over the Guy;Lionsgate;Romantic-Comedy
43;American Desi;Eros Entertainment;Romantic-Comedy
44;Va Savoir (Who Knows?);Sony Pictures Cla…;Romantic-Comedy
45;Happy Accidents;IFC Films;Romantic-Comedy
46;The Taste of Others;Miramax;Romantic-Comedy
47;Better than Sex;Samuel Goldwyn Films;Romantic-Comedy
48;Best Man in Grass Creek;;Romantic-Comedy
49;Mademoiselle;;Romantic-Comedy
50;CafÃ© OlÃ©;Equinox;Romantic-Comedy
51;Let it Snow;;Romantic-Comedy
52;Du pic au coeur;;Romantic-Comedy
54;My Big Fat Greek Wedding;IFC Films;Romantic-Comedy
55;Maid in Manhattan;Sony Pictures;Romantic-Comedy
56;Two Weeks Notice;Warner Bros.;Romantic-Comedy
57;About a Boy;Universal;Romantic-Comedy
58;40 Days and 40 Nights;Miramax;Romantic-Comedy
59;Brown Sugar;20th Century Fox;Romantic-Comedy
60;The Sweetest Thing;Sony Pictures;Romantic-Comedy
61;Serving Sara;Paramount Pictures;Romantic-Comedy
62;Kate and Leopold;Miramax;Romantic-Comedy
63;Le Fabuleux destin d'AmÃ©lie…;Miramax;Romantic-Comedy
64;Life, or Something Like It;20th Century Fox;Romantic-Comedy
65;Kissing Jessica Stein;Fox Searchlight;Romantic-Comedy
66;Hollywood Ending;Dreamworks SKG;Romantic-Comedy
67;Shallow Hal;20th Century Fox;Romantic-Comedy
68;Bollywood/Hollywood;Magnolia Pictures;Romantic-Comedy
69;Crush;Sony Pictures Cla…;Romantic-Comedy
70;Swept Away;Sony Pictures;Romantic-Comedy
71;The Triumph of Love;;Romantic-Comedy
72;Never Again;;Romantic-Comedy
73;The Bread, My Sweet;Panorama Entertai…;Romantic-Comedy
74;Mujhse Dosti Karoge;;Romantic-Comedy
75;Waking Up in Reno;Miramax;Romantic-Comedy
76;Amy's Orgasm;Magic Lamp;Romantic-Comedy
77;Va Savoir (Who Knows?);Sony Pictures Cla…;Romantic-Comedy
79;How to Lose a Guy in 10 Days;Paramount Pictures;Romantic-Comedy
80;Something's Gotta Give;Sony Pictures;Romantic-Comedy
81;Love Actually;Universal;Romantic-Comedy
82;Just Married;20th Century Fox;Romantic-Comedy
83;Intolerable Cruelty;Universal;Romantic-Comedy
84;Two Weeks Notice;Warner Bros.;Romantic-Comedy
85;Down with Love;20th Century Fox;Romantic-Comedy
86;Love Don't Cost a Thing;Warner Bros.;Romantic-Comedy
87;Maid in Manhattan;Sony Pictures;Romantic-Comedy
88;Deliver Us From Eva;Focus Features;Romantic-Comedy
89;My Boss's Daughter;Miramax/Dimension;Romantic-Comedy
90;A Guy Thing;MGM;Romantic-Comedy
91;Alex & Emma;Warner Bros.;Romantic-Comedy
92;My Big Fat Greek Wedding;IFC Films;Romantic-Comedy
93;Gigli;Sony Pictures;Romantic-Comedy
94;L'auberge espagnole;;Romantic-Comedy
95;Anything Else;Dreamworks SKG;Romantic-Comedy
96;Nez Rouge;Christal Films;Romantic-Comedy
97;I Capture the Castle;Samuel Goldwyn Films;Romantic-Comedy
98;The Bread, My Sweet;Panorama Entertai…;Romantic-Comedy
99;Jet Lag;Miramax;Romantic-Comedy
100;Passionada;Samuel Goldwyn Films;Romantic-Comedy
101;Bollywood/Hollywood;Magnolia Pictures;Romantic-Comedy
102;Brown Sugar;20th Century Fox;Romantic-Comedy
103;Out of Control;;Romantic-Comedy
